"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","114,235,996","±248,114","114,235,996","(X)"
"    Family households (families)","76,254,318","±230,785","66.8%","±0.1"
"        With own children under 18 years","34,990,015","±189,020","30.6%","±0.1"
"        Married-couple family","56,655,412","±293,638","49.6%","±0.2"
"            With own children under 18 years","24,057,666","±221,479","21.1%","±0.1"
"        Male householder, no wife present, family","5,214,950","±30,517","4.6%","±0.1"
"            With own children under 18 years","2,539,641","±15,344","2.2%","±0.1"
"        Female householder, no husband present, family","14,383,956","±42,561","12.6%","±0.1"
"            With own children under 18 years","8,392,708","±28,975","7.3%","±0.1"
"    Nonfamily households","37,981,678","±38,604","33.2%","±0.1"
"        Householder living alone","31,115,183","±65,195","27.2%","±0.1"
"            65 years and over","10,677,015","±115,004","9.3%","±0.1"
"    Households with one or more people under 18 years","38,750,454","±186,691","33.9%","±0.1"
"    Households with one or more people 65 years and over","27,391,095","±102,415","24.0%","±0.1"
"    Average household size","2.59","±0.01","(X)","(X)"
"    Average family size","3.17","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","295,968,252","*****","295,968,252","(X)"
"    Householder","114,235,996","±248,114","38.6%","±0.1"
"    Spouse","56,620,621","±290,187","19.1%","±0.1"
"    Child","89,670,866","±92,827","30.3%","±0.1"
"    Other relatives","19,390,242","±247,701","6.6%","±0.1"
"    Nonrelatives","16,050,527","±213,433","5.4%","±0.1"
"        Unmarried partner","6,436,303","±20,606","2.2%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","118,264,295","±7,454","118,264,295","(X)"
"    Never married","40,461,438","±167,327","34.2%","±0.1"
"    Now married, except separated","61,745,693","±257,090","52.2%","±0.2"
"    Separated","2,137,849","±19,734","1.8%","±0.1"
"    Widowed","2,977,072","±12,238","2.5%","±0.1"
"    Divorced","10,942,243","±79,362","9.3%","±0.1"
"    Females 15 years and over","124,809,173","±6,226","124,809,173","(X)"
"    Never married","34,856,779","±131,952","27.9%","±0.1"
"    Now married, except separated","60,343,650","±212,078","48.3%","±0.2"
"    Separated","3,124,997","±25,166","2.5%","±0.1"
"    Widowed","11,925,452","±24,439","9.6%","±0.1"
"    Divorced","14,558,295","±76,773","11.7%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","4,308,790","±23,447","4,308,790","(X)"
"    Unmarried women (widowed, divorced, and never married)","1,464,737","±9,839","34.0%","±0.3"
"        Per 1,000 unmarried women","37","±1","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","56","±1","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","28","±1","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","104","±1","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","24","±1","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","6,449,387","±30,179","6,449,387","(X)"
"    Responsible for grandchildren","2,641,514","±14,098","41.0%","±0.2"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","599,400","±6,592","9.3%","±0.1"
"            1 or 2 years","633,758","±6,979","9.8%","±0.1"
"            3 or 4 years","436,147","±5,292","6.8%","±0.1"
"            5 or more years","972,209","±9,041","15.1%","±0.1"
"    Number of grandparents responsible for own grandchildren under 18 years","2,641,514","±14,098","2,641,514","(X)"
"    Who are female","1,658,717","±9,587","62.8%","±0.1"
"    Who are married","1,866,847","±11,338","70.7%","±0.2"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","80,939,002","±98,045","80,939,002","(X)"
"    Nursery school, preschool","4,924,145","±30,224","6.1%","±0.1"
"    Kindergarten","4,113,849","±14,331","5.1%","±0.1"
"    Elementary school (grades 1-8)","32,578,808","±23,235","40.3%","±0.1"
"    High school (grades 9-12)","17,532,181","±22,873","21.7%","±0.1"
"    College or graduate school","21,790,019","±71,146","26.9%","±0.1"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","199,726,659","±18,056","199,726,659","(X)"
"    Less than 9th grade","12,435,227","±63,874","6.2%","±0.1"
"    9th to 12th grade, no diploma","17,463,256","±67,801","8.7%","±0.1"
"    High school graduate (includes equivalency)","57,903,353","±183,279","29.0%","±0.1"
