,American,Arab,Czech,Danish,Dutch,English,French(exceptBasque),FrenchCanadian,German,Greek,Hungarian,Irish,Italian,Lithuanian,Norwegian,Polish,Portuguese,Russian,Scotch-Irish,Scottish,Slovak,SubsaharanAfrican,Swedish,Swiss,Ukrainian
N_2010,19094109,1517664,1595844,1453897,4950041,27403063,9326180,2138601,49836146,1337511,1537205,35751133,17566693,708860,4602337,9835459,1426121,3072756,5227821,5821321,805282,2763624,4293208,1003505,956896
N_2011,19911467,1584874,1569839,1420962,4809836,26922124,9135933,2087970,49202203,1319128,1511839,35522918,17551075,696686,4557539,9739640,1422191,3060143,5102732,5706263,786108,2828270,4211644,982909,958294
N_2012,20775461,1646808,1543224,1392161,4665736,26360639,8902996,2052405,48478298,1308335,1485671,35107290,17496924,684939,4514318,9670197,1409262,3013959,3317115,5580121,769697,2886972,4155453,967123,960902
N_2013,21659006,1710927,1514919,1360858,4533617,25809471,8678917,2061608,47715461,1300818,1468069,34587835,17435042,672154,4490532,9596630,1404692,2964169,3212402,5485459,754862,2931557,4067207,951617,958662
N_2014,22365250,1769645,1479588,1323182,4387814,25181294,8431568,2052979,46874293,1285866,1440762,33918058,17330315,659664,4451906,9452375,1380904,2895600,3102082,5401397,735757,2987143,3984136,936806,963549
N_2015,22746991,1832106,1452344,1307381,4289116,24787018,8272538,2059482,46403053,1284473,1423736,33526444,17285619,653137,4445030,9385766,1372141,2843400,3046005,5409343,725457,3119177,3933024,929291,973257
N_2016,21961129,1883456,1435359,1297738,4210787,24426623,8151499,2084903,45879360,1282655,1423144,33093550,17174741,648514,4454964,9344126,1367476,2795443,3056848,5457798,714557,3232142,3908762,937376,986597
N_2017,21227906,1920562,1410576,1294689,4121110,23977180,7997196,2109242,45153215,1272806,1414423,32562619,17063646,638018,4426556,9265548,1363703,2741864,3032134,5460745,700474,3402702,3847046,933084,995653
N_2018,20678613,1979363,1382835,1278457,4009279,23638645,7815721,2095503,44164758,1273100,1396014,32054485,16885993,632321,4403008,9152819,1358190,2671995,3021077,5440934,688103,3589855,3788741,927539,1002367
N_2019,20266321,2009626,1358610,1265727,3872651,23493906,7606589,2074567,43038145,1265177,1380914,31517030,16687024,628929,4373660,9095241,1368091,2608040,3011165,5398961,675728,3748931,3718915,921436,1009119
N_2020,19364103,2056594,1329130,1244498,3692889,25213619,7374976,1998012,42589571,1249194,1348198,31518129,16549022,626937,4289825,8936002,1363964,2538436,2937156,5298861,658740,3809930,3627796,908570,1015209
