"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","118,208,250","±155,130","118,208,250","(X)"
"        Family households (families)","77,530,756","±136,900","65.6%","±0.1"
"            With own children of the householder under 18 years","32,999,587","±74,639","27.9%","±0.1"
"            Married-couple family","56,715,795","±151,069","48.0%","±0.1"
"                With own children of the householder under 18 years","22,208,234","±73,465","18.8%","±0.1"
"            Male householder, no wife present, family","5,730,981","±38,862","4.8%","±0.1"
"                With own children of the householder under 18 years","2,718,895","±27,735","2.3%","±0.1"
"            Female householder, no husband present, family","15,083,980","±58,084","12.8%","±0.1"
"                With own children of the householder under 18 years","8,072,458","±41,427","6.8%","±0.1"
"        Nonfamily households","40,677,494","±98,602","34.4%","±0.1"
"            Householder living alone","32,962,990","±95,202","27.9%","±0.1"
"                65 years and over","12,414,334","±46,839","10.5%","±0.1"
"    Households with one or more people under 18 years","37,113,984","±73,495","31.4%","±0.1"
"    Households with one or more people 65 years and over","33,229,553","±57,924","28.1%","±0.1"
"    Average household size","2.65","±0.01","(X)","(X)"
"    Average family size","3.26","±0.01","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","313,347,925","*****","313,347,925","(X)"
"        Householder","118,208,250","±155,130","37.7%","±0.1"
"        Spouse","56,681,711","±147,810","18.1%","±0.1"
"        Child","95,198,175","±120,079","30.4%","±0.1"
"        Other relatives","23,665,436","±135,158","7.6%","±0.1"
"        Nonrelatives","19,594,353","±136,718","6.3%","±0.1"
"            Unmarried partner","7,381,519","±45,055","2.4%","±0.1"
"MARITAL STATUS","","","",""
"    Males 15 years and over","127,013,406","±32,000","127,013,406","(X)"
"        Never married","46,677,157","±88,060","36.7%","±0.1"
"        Now married, except separated","62,501,445","±136,408","49.2%","±0.1"
"        Separated","2,210,794","±27,007","1.7%","±0.1"
"        Widowed","3,280,656","±26,827","2.6%","±0.1"
"        Divorced","12,343,354","±53,930","9.7%","±0.1"
"    Females 15 years and over","133,401,746","±25,384","133,401,746","(X)"
"        Never married","40,667,249","±83,240","30.5%","±0.1"
"        Now married, except separated","61,291,209","±136,711","45.9%","±0.1"
"        Separated","3,127,992","±32,452","2.3%","±0.1"
"        Widowed","11,915,658","±42,961","8.9%","±0.1"
"        Divorced","16,399,638","±68,516","12.3%","±0.1"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","3,931,053","±33,526","3,931,053","(X)"
"        Unmarried women (widowed, divorced, and never married)","1,401,433","±22,872","35.7%","±0.4"
"            Per 1,000 unmarried women","32","±1","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","51","±1","(X)","(X)"
